ano,mes,sigla_uf,tipo_consumo,consumo,data
2015,7,AL,Industrial,179356,2015-07-01
2015,7,AL,Residencial,102034,2015-07-01
2015,7,AL,Comercial,55211,2015-07-01
2015,7,AL,Outros,52604,2015-07-01
2015,7,BA,Total,1895443,2015-07-01
2015,7,BA,Industrial,761232,2015-07-01
2015,7,BA,Comercial,272769,2015-07-01
2015,7,BA,Outros,348461,2015-07-01
2015,7,BA,Cativo,1612555,2015-07-01
2015,7,BA,Residencial,512981,2015-07-01
2015,7,CE,Total,910506,2015-07-01
2015,7,CE,Comercial,180279,2015-07-01
2015,7,CE,Residencial,307490,2015-07-01
2015,7,CE,Cativo,798028,2015-07-01
2015,7,CE,Industrial,207276,2015-07-01
2015,7,CE,Outros,215461,2015-07-01
2015,7,MA,Comercial,100387,2015-07-01
2015,7,MA,Total,527012,2015-07-01
2015,7,MA,Residencial,234777,2015-07-01
2015,7,MA,Outros,107090,2015-07-01
2015,7,MA,Industrial,84758,2015-07-01
2015,7,MA,Cativo,477115,2015-07-01
2015,7,PB,Outros,76005,2015-07-01
2015,7,PB,Residencial,131959,2015-07-01
2015,7,PB,Comercial,68829,2015-07-01
2015,7,PB,Total,405013,2015-07-01
2015,7,PB,Industrial,128220,2015-07-01
2015,7,PB,Cativo,332846,2015-07-01
2015,7,PE,Industrial,315250,2015-07-01
2015,7,PE,Total,1085147,2015-07-01
2015,7,PE,Comercial,218104,2015-07-01
2015,7,PE,Outros,182237,2015-07-01
2015,7,PE,Cativo,889953,2015-07-01
2015,7,PE,Residencial,369555,2015-07-01
2015,7,PI,Residencial,129376,2015-07-01
2015,7,PI,Outros,59857,2015-07-01
2015,7,PI,Total,271404,2015-07-01
2015,7,PI,Cativo,267009,2015-07-01
2015,7,PI,Comercial,58697,2015-07-01
2015,7,PI,Industrial,23474,2015-07-01
2015,7,RN,Cativo,363695,2015-07-01
2015,7,RN,Industrial,109050,2015-07-01
2015,7,RN,Comercial,85167,2015-07-01
2015,7,RN,Outros,85999,2015-07-01
2015,7,RN,Total,436790,2015-07-01
2015,7,RN,Residencial,156574,2015-07-01
2015,7,SE,Total,294969,2015-07-01
2015,7,SE,Outros,49331,2015-07-01
2015,7,SE,Comercial,44084,2015-07-01
2015,7,SE,Industrial,121074,2015-07-01
2015,7,SE,Residencial,80480,2015-07-01
2015,7,SE,Cativo,205819,2015-07-01
2015,8,AL,Industrial,182039,2015-08-01
2015,8,AL,Residencial,92636,2015-08-01
2015,8,AL,Total,383573,2015-08-01
2015,8,AL,Cativo,351186,2015-08-01
2015,8,AL,Comercial,55631,2015-08-01
2015,8,AL,Outros,53267,2015-08-01
2015,8,BA,Comercial,279213,2015-08-01
2015,8,BA,Total,1925103,2015-08-01
2015,8,BA,Cativo,1624291,2015-08-01
2015,8,BA,Industrial,784701,2015-08-01
2015,8,BA,Outros,359073,2015-08-01
2015,8,BA,Residencial,502116,2015-08-01
2015,8,CE,Total,948245,2015-08-01
2015,8,CE,Comercial,190027,2015-08-01
2015,8,CE,Outros,226260,2015-08-01
2015,8,CE,Cativo,836717,2015-08-01
2015,8,CE,Residencial,319589,2015-08-01
2015,8,CE,Industrial,212369,2015-08-01
2015,8,MA,Comercial,106306,2015-08-01
2015,8,MA,Total,560779,2015-08-01
2015,8,MA,Outros,110602,2015-08-01
2015,8,MA,Residencial,243396,2015-08-01
2015,8,MA,Cativo,497380,2015-08-01
2015,8,MA,Industrial,100475,2015-08-01
2015,8,PB,Cativo,338029,2015-08-01
2015,8,PB,Outros,79295,2015-08-01
2015,8,PB,Total,421405,2015-08-01
2015,8,PB,Comercial,71150,2015-08-01
2015,8,PB,Residencial,138113,2015-08-01
2015,8,PB,Industrial,132847,2015-08-01
2015,8,PE,Cativo,888218,2015-08-01
2015,8,PE,Industrial,320175,2015-08-01
2015,8,PE,Total,1082377,2015-08-01
2015,8,PE,Outros,192739,2015-08-01
2015,8,PE,Comercial,220189,2015-08-01
2015,8,PE,Residencial,349273,2015-08-01
2015,8,PI,Industrial,24531,2015-08-01
2015,8,PI,Comercial,66255,2015-08-01
2015,8,PI,Outros,61746,2015-08-01
2015,8,PI,Cativo,271431,2015-08-01
2015,8,PI,Total,277065,2015-08-01
2015,8,PI,Residencial,124533,2015-08-01
2015,8,RN,Outros,90505,2015-08-01
2015,8,RN,Industrial,112471,2015-08-01
2015,8,RN,Total,440534,2015-08-01
2015,8,RN,Residencial,153247,2015-08-01
2015,8,RN,Cativo,365746,2015-08-01
2015,8,RN,Comercial,84311,2015-08-01
2015,8,SE,Industrial,122523,2015-08-01
2015,8,SE,Total,294801,2015-08-01
2015,8,SE,Outros,50565,2015-08-01
2015,8,SE,Comercial,44103,2015-08-01
2015,8,SE,Cativo,204910,2015-08-01
2015,8,SE,Residencial,77610,2015-08-01
2015,9,AL,Outros,59781,2015-09-01
2015,9,AL,Residencial,99493,2015-09-01
2015,9,AL,Total,395306,2015-09-01
2015,9,AL,Comercial,59121,2015-09-01
2015,9,AL,Cativo,362885,2015-09-01
2015,9,AL,Industrial,176911,2015-09-01
2015,9,BA,Industrial,701505,2015-09-01
2015,9,BA,Cativo,1635048,2015-09-01
2015,9,BA,Residencial,521558,2015-09-01
2015,9,BA,Comercial,294003,2015-09-01
2015,9,BA,Outros,377183,2015-09-01
2015,9,BA,Total,1894249,2015-09-01
2015,9,CE,Comercial,184865,2015-09-01
2015,9,CE,Outros,233967,2015-09-01
2015,9,CE,Total,939268,2015-09-01
2015,9,CE,Industrial,202262,2015-09-01
2015,9,CE,Cativo,835814,2015-09-01
2015,9,CE,Residencial,318174,2015-09-01
2015,9,MA,Total,572763,2015-09-01
2015,9,MA,Residencial,254578,2015-09-01
2015,9,MA,Outros,117127,2015-09-01
2015,9,MA,Cativo,516981,2015-09-01
2015,9,MA,Comercial,109946,2015-09-01
2015,9,MA,Industrial,91112,2015-09-01
2015,9,PB,Residencial,145020,2015-09-01
2015,9,PB,Outros,84412,2015-09-01
2015,9,PB,Comercial,75443,2015-09-01
2015,9,PB,Cativo,352994,2015-09-01
2015,9,PB,Industrial,130779,2015-09-01
2015,9,PB,Total,435654,2015-09-01
2015,9,PE,Cativo,920485,2015-09-01
2015,9,PE,Residencial,368883,2015-09-01
2015,9,PE,Total,1108803,2015-09-01
2015,9,PE,Industrial,315227,2015-09-01
2015,9,PE,Outros,196693,2015-09-01
2015,9,PE,Comercial,228000,2015-09-01
2015,9,PI,Cativo,285393,2015-09-01
2015,9,PI,Residencial,138738,2015-09-01
2015,9,PI,Outros,65852,2015-09-01
2015,9,PI,Comercial,62497,2015-09-01
2015,9,PI,Total,289127,2015-09-01
2015,9,PI,Industrial,22040,2015-09-01
2015,9,RN,Industrial,106914,2015-09-01
2015,9,RN,Comercial,88016,2015-09-01
2015,9,RN,Cativo,378829,2015-09-01
2015,9,RN,Residencial,155099,2015-09-01
2015,9,RN,Total,447152,2015-09-01
2015,9,RN,Outros,97123,2015-09-01
2015,9,SE,Industrial,116954,2015-09-01
2015,9,SE,Cativo,218883,2015-09-01
2015,9,SE,Outros,53773,2015-09-01
2015,9,SE,Comercial,47398,2015-09-01
2015,9,SE,Total,303139,2015-09-01
2015,9,SE,Residencial,85014,2015-09-01
2015,10,AL,Outros,69020,2015-10-01
2015,10,AL,Comercial,61463,2015-10-01
2015,10,AL,Residencial,105429,2015-10-01
2015,10,AL,Cativo,384635,2015-10-01
2015,10,AL,Industrial,186032,2015-10-01
2015,10,AL,Total,421944,2015-10-01
2015,10,BA,Total,2011883,2015-10-01
2015,10,BA,Residencial,546481,2015-10-01
2015,10,BA,Industrial,755292,2015-10-01
2015,10,BA,Cativo,1737164,2015-10-01
2015,10,BA,Comercial,310482,2015-10-01
2015,10,BA,Outros,399628,2015-10-01
2015,10,CE,Comercial,184247,2015-10-01
2015,10,CE,Industrial,204123,2015-10-01
2015,10,CE,Outros,238418,2015-10-01
2015,10,CE,Residencial,327122,2015-10-01
2015,10,CE,Cativo,848264,2015-10-01
2015,10,CE,Total,953910,2015-10-01
2015,10,MA,Outros,120407,2015-10-01
2015,10,MA,Industrial,88009,2015-10-01
2015,10,MA,Total,581229,2015-10-01
2015,10,MA,Cativo,527346,2015-10-01
2015,10,MA,Comercial,109965,2015-10-01
2015,10,MA,Residencial,262848,2015-10-01
2015,10,PB,Outros,87977,2015-10-01
2015,10,PB,Total,432781,2015-10-01
2015,10,PB,Cativo,355812,2015-10-01
2015,10,PB,Comercial,74802,2015-10-01
2015,10,PB,Residencial,142802,2015-10-01
2015,10,PB,Industrial,127200,2015-10-01
2015,10,PE,Total,1161919,2015-10-01
2015,10,PE,Cativo,969928,2015-10-01
2015,10,PE,Industrial,320506,2015-10-01
2015,10,PE,Residencial,389376,2015-10-01
2015,10,PE,Outros,210722,2015-10-01
2015,10,PE,Comercial,241315,2015-10-01
2015,10,PI,Cativo,289495,2015-10-01
2015,10,PI,Total,293789,2015-10-01
2015,10,PI,Comercial,62571,2015-10-01
2015,10,PI,Outros,67174,2015-10-01
2015,10,PI,Industrial,22989,2015-10-01
2015,10,PI,Residencial,141055,2015-10-01
2015,10,RN,Outros,99206,2015-10-01
2015,10,RN,Comercial,89199,2015-10-01
2015,10,RN,Total,461981,2015-10-01
2015,10,RN,Industrial,110096,2015-10-01
2015,10,RN,Cativo,389641,2015-10-01
2015,10,RN,Residencial,163480,2015-10-01
2015,10,SE,Residencial,84125,2015-10-01
2015,10,SE,Industrial,125104,2015-10-01
2015,10,SE,Total,315159,2015-10-01
2015,10,SE,Cativo,222602,2015-10-01
2015,10,SE,Comercial,48300,2015-10-01
2015,10,SE,Outros,57630,2015-10-01
2015,11,AL,Cativo,382721,2015-11-01
2015,11,AL,Industrial,174463,2015-11-01
2015,11,AL,Residencial,103056,2015-11-01
