ano,mes,regiao,tipo_consumo,consumo,data
2016,4,Sul,Total,7326165,2016-04-01
2016,5,Centro-Oeste,Cativo,2432528,2016-05-01
2016,5,Centro-Oeste,Comercial,590955,2016-05-01
2016,5,Centro-Oeste,Industrial,751502,2016-05-01
2016,5,Centro-Oeste,Outros,674773,2016-05-01
2016,5,Centro-Oeste,Residencial,884863,2016-05-01
2016,5,Centro-Oeste,Total,2902093,2016-05-01
2016,5,Nordeste,Cativo,5764349,2016-05-01
2016,5,Nordeste,Comercial,1196339,2016-05-01
2016,5,Nordeste,Industrial,1962335,2016-05-01
2016,5,Nordeste,Outros,1307594,2016-05-01
2016,5,Nordeste,Residencial,2255249,2016-05-01
2016,5,Nordeste,Total,6721517,2016-05-01
2016,5,Norte,Cativo,1830921,2016-05-01
2016,5,Norte,Comercial,415427,2016-05-01
2016,5,Norte,Industrial,1277905,2016-05-01
2016,5,Norte,Outros,414420,2016-05-01
2016,5,Norte,Residencial,754695,2016-05-01
2016,5,Norte,Total,2862447,2016-05-01
2016,5,Sudeste,Cativo,13119076,2016-05-01
2016,5,Sudeste,Comercial,3960712,2016-05-01
2016,5,Sudeste,Industrial,7338229,2016-05-01
2016,5,Sudeste,Outros,2673245,2016-05-01
2016,5,Sudeste,Residencial,5330941,2016-05-01
2016,5,Sudeste,Total,19303127,2016-05-01
2016,5,Sul,Cativo,5345967,2016-05-01
2016,5,Sul,Comercial,1215606,2016-05-01
2016,5,Sul,Industrial,2610477,2016-05-01
2016,5,Sul,Outros,1326819,2016-05-01
2016,5,Sul,Residencial,1706584,2016-05-01
2016,5,Sul,Total,6859486,2016-05-01
2016,6,Centro-Oeste,Cativo,2377087,2016-06-01
2016,6,Centro-Oeste,Comercial,567827,2016-06-01
2016,6,Centro-Oeste,Industrial,746912,2016-06-01
2016,6,Centro-Oeste,Outros,674208,2016-06-01
2016,6,Centro-Oeste,Residencial,850866,2016-06-01
2016,6,Centro-Oeste,Total,2839813,2016-06-01
2016,6,Nordeste,Cativo,5646270,2016-06-01
2016,6,Nordeste,Comercial,1170478,2016-06-01
2016,6,Nordeste,Industrial,1908741,2016-06-01
2016,6,Nordeste,Outros,1297447,2016-06-01
2016,6,Nordeste,Residencial,2219377,2016-06-01
2016,6,Nordeste,Total,6596043,2016-06-01
2016,6,Norte,Cativo,1848369,2016-06-01
2016,6,Norte,Comercial,416102,2016-06-01
2016,6,Norte,Industrial,1208497,2016-06-01
2016,6,Norte,Outros,410896,2016-06-01
2016,6,Norte,Residencial,783331,2016-06-01
2016,6,Norte,Total,2818826,2016-06-01
2016,6,Sudeste,Cativo,12409280,2016-06-01
2016,6,Sudeste,Comercial,3611034,2016-06-01
